word,meaning
lose your marbles,"'perder la cabeza, lose sanity, sense', ""I have'tlost my marbles, he explains why he's going on I'm A Celeb."", '', 'marble: mármol.'"
joust,"'justa', 'batalla, torneo'"
prat,"'Uk, slang: imbécil', 'Mr Hancock has benn an absoluteprat.'"
inter,"'bury, put in grave, enterrar, sepultar, inhumar', ""At my father's funeral weinterredthe body."""
hearth,'(of fireplace) hogar'
jackpot,"'premio gordo, gambling: top prize', 'The lottery had ajackpotof one million dollars.'"
wail,"'gemido, mournful cry, lamento', 'Womenwailedand beat their breasts at the funeral.'"
cot,"'catre (portable bed)', 'UK: cuna (crib)'"
chow,"'papeo, Us, slang: comida', ""I'm starving; let's get somechow."""
trample,"'crush underfoot, tread heavily', 'Workerstramplethe grapes to make wine.', 'The high taxestrampleon small business owners.', '', 'Although movies commonly suggest people die by gettingtrampled, the reality is that most people are suffocated in a crowd surge.'"
bolster,"'support, dar apoyo, apuntalar, respaldar', '', 'long pillow, almohadón (yoga bolster)'"
feud,"'contienda, enemistad, pelea'"
peddle,"'sell items, vender', 'The merchant was fined forpeddlingon the street without a license.', 'vender ilegalmente (peyorativo), traficar', 'fig, spread ideas, lies, diseminar mentiras', 'The chairman accused the speaker ofpeddlinglies.', 'Britain says Kremlin ispeddlingfalse claims of an epic scale.'"
butch,"'machote, strong, manly / marimacho, woman: masculine.', 'People made fun of her for herbutchhaircut.', '', 'tomboy: boyish girl, marimacho.', 'Rebecca was atomboywhen she was a child, and preferred playing basketball over playing with dolls.'"
devious,"'(dishonest) taimado, retorcido, ladino', 'Extremelydeviouswoman jailed for murdering and decapitating friend.'"
wheeze,"'breathe hoarsely, resollar, respirar con dificultad', 'The old man waswheezingas he struggled up the stairs.'"
vigilante,"'justiciero, self-appointed law enforcer', 'The city authorities do not wantvigilanteson the streets.', 'The neighbours have formed avigilantegroup to keep a watch on the car park.', '', 'Two vigilantes who took the law into their own hands were cleared yesterday of murder.'"
spotless,"'inmaculado, impecable, impoluto', 'How do you manage to keep your kitchen sospotless?', 'Herspotlessreputation made her a good choice for the post.'"
toing and froing,"'idas y vueltas', 'Elon Musk has completed his $44bn (£38bn) takeover of Twitter after months oftoing and froingover the deal.'"
bad blood,"'resentment, acrimony, encono', 'Elon Musk completes Twitter takeover.It ends months ofbad bloodbetween the two parties regarding the takeover, with Elon Musk complaining about fake accounts on the platform and claims by a whistleblower that Twitter misled regulators about security risks.'"
tea towell,"'dishtowel, trapo de cocina'"
sitter,"'cuidador / modelo', ""We'll have to find asitterfor the cat this weekend."", 'Yolanda has a part-time job as asitterin a life drawing class.', 'Babysitter, housesitter, petsitter, dogsitter'"
pomegranate,"'granada', 'Pomegranatescontain a lot of seeds.'"
plush,"'felpa (fluffy, soft)', 'I made myself comfortable on theplushred sofa.', '', 'de lujo', 'We went to aplushrestaurant and ordered caviar.'"
patter,"'tapping sound of rain, tamborileo, golpeteo', 'I like to stay inside when it rains and hear thepatteron the roof.', 'soft footsteps', 'The toddlerpatteredaround the house looking for his toys.', '', 'Fast continuous talk by somebody who is trying to sell you something or entertain you.', '', 'Salespatter.'"
hex,"'curse, spell, maleficio, mal de ojo', ""The sorcerer's (brujo)hexcaused a series of misfortunes in the town."", 'The witch threatened tohexthe knight if he did not yield to her.', '', 'jinx'"
jinx,"'maldición, mal de ojo. Evil curse, cursed person, thing', ""The witch's jinx on Seth has caused him terrible luck."", '', 'hex'"
nous,"'common sense, intelligence', 'Sunak has displayed a shocking lack of politicalnousfor someone with ambitions.'"
lectern,"'reading stand, atril', 'The Prime Minister went straight to thelecternand gave his speech.'"
hallmark,"'official stamp', 'The silverware had ahallmarkon every piece.', '', 'fig: sello distintivo.', 'Good research is thehallmarkof great scholar.'"
gob,"'uk, slang: bocaza', 'Shut yourgob! (= a rude way of telling somebody to be quiet)'"
derelict,"'en ruinas, abandonado', ""Jamie's company renovatesderelictbuildings."", 'Thederelictbuilding has had no tenants for over a decade.', '', 'unhoused person: vagabundo'"
tumbleweed,"'planta rodadora', 'Atumbleweedrolled across the dusty desert road.'"
scrapheap,"'desguace, pila de material desechado', 'Sunak was cast into the politicalscrapheapas he lost out to Liz Truss.'"
countenance,"'literary(face, facial expression) semblante', 'The king maintained a serenecountenance.'"
chunky,"'thick and heavy, robusto, fornido', '', 'food: with lumps, con trozos, tropezones', 'The cook made achunkyvegetable soup for lunch.'"
abate,"'calmarse, reducirse, amainar', 'The golfers waited inside for the storm toabate.', 'Steps are to be taken toabatepollution.'"
wayside,"'arcén, at the roadside', '', 'fail by the wayside: fail to make progress.', '', ""I learned that life is a long and difficult road, but you have to keep going, or you'll fall by thewayside."""
candour,"(candor) ''openness, honesty, franqueza, sinceridad, honestidad', ""The supervisor appreciated the guard'scandorin admitting that he had fallen asleep."""
brash,"'confident in an agressive way, atrevido, descarado, desenvuelto', 'Inviting yourself to a party is abrashthing to do.'"
veer,"'car: swerve suddenly, girar bruscamente.', 'The carveeredinto the wrong lane and collided with a lorry.', 'digress from topic, salirse del tema', 'The conversationveeredin many directions.'"
swat,"'aplastar, matar, fly etc: hit swiftly', 'Quick!Swatthe bee before it stings me!', 'Rickswatteda fly with a newspaper.', ""Rhondaswattedher son's bottom when he said a bad word."", 'cachete, bofetón, golpe', ""The child felt Lisa's gentleswatand immediately stopped misbehaving."""
suet,"'sebo, animal fat used in cooking'"
bookie,"'corredor de apuestas, takes and pays off bets', ""Rishi Sunak is thebookies' favourite to become the next Tory leader."""
fitting room,"'booth for trying on clothes, probador'"
shoehorn,"'calzador, tool used to ease shoe onto foot.', 'Don used ashoehornto slip his feet into his dress shoes. (zapatos de vestir)', '', 'meter con calzador, fit, force into small space', 'Craigshoehornedthe book between two others on the shelf.'"
sounding,"'sondeo', 'The boat takessoundingsevery hundred metres to map the seabed.'"
quill,"'large feather, hollow part of it, cálamo', ""I don't use a pen. I write with a goosequilldipped in venom."""
pitchfork,"'fork for lifting hay, horquilla'"
every other day,"'un día sí y otro no, cada dos días', 'The medication should be takenevery other day.'"
luscious,"'delicioso, exquisito, sabroso', 'having a strong pleasant taste', 'The dessert had alusciouschocolate flavor.', '', '(woman: voluptuous)', 'The model showed off herlusciouscurves.'"
eschew,"'avoid, reject, evitar, reguir, romper con', 'Britons are ditching fruit and veg amid soaring prices - with avocados and mangos among the food items beingeschewed.'"
hairdo,"'peinado, hairstyle', ""Linda's newhairdois very modern and chic."""
fender,"'guardabarros, area above wheel', '', 'fender bender: toque, minor collision', 'It was only a fender bender but the damage was still expensive to repair.'"
cagey,"'evasive', ""The politician gave a typicallycageyreply to the journalist's question."""
eye-watering,"'extremely surprising, because of being great in amount.', 'Theeye-wateringscale of cuts facing public services.'"
alluring,"'attractive, appealing, seductor', 'Attractive and exciting in a mysterious way.', ''"
antics,"'payasadas, silly or playful behaviour', ""Jimmy'santicsmake the whole family laugh."""
play possum,"'pretend to be dead, hacerse el muerto'"
mick,'irlandés de mierda'
garrison,"'guarnición, military post, troops there'"
dowry,"'dote', 'In some countries, a bride must still provide her husband with adowry.', ''"
castor,"'wheel on furniture', 'The dresser is oncastors, so it moves easily.'"
buster,"'que combate algo, destructor de algo', 'Batman is a famous crime-buster.', 'Goshtbusters.', '', ""tío, used to speak to a man you don't like"""
blare,"'estruendo, estrépito, loud noise'"
out of depth,"'no hacer pie', 'Their fears are that Truss is out of her depth.'"
beguile,"'engatusar, seducir para engañar'"
acquit,"'pronounce not guilty, absolver, exonerar, exculpar', 'The juryacquittedthe defendant due to lack of evidence.', '', 'desenvolver:Heacquittedhimself brilliantly in the exams.'"
wuss,"'nenaza, gallina', ""Don't be such awuss; go ahead and do it!"""
wean,"'destetar', '', 'They have graduallyweanedhim off the drugs.', '', 'The doctor tried toweanher off sleeping pills.'"
tun,"'barrel, tonel.', 'We have an entiretunof French wine down in the wine cellar.'"
streamline,"'contour, dibujar el contorno', 'make more efficient, modernizar, mejorar, optimizar,aerodinamizar', 'The boss plans to streamline this department, so all the work can be done by fewer people.'"
dicey,"'dangerous, risky', 'There is averydiceysituation globally.', 'The icy conditions are making traveldicey.'"
scruff,"'person who looks untidy, andrajoso, descuidado', '', ""scruff of the neck: back of the animal's neck, cogote, pescuezo"""
rancid,"'rotten, rancio', 'Patrick detected arancidsmell coming from the garbage.'"
mutt,"'mongrel dog, chucho', 'a dog, especially one that is not of a particular breed'"
marquee,"'(us) theater entrnca (marquesina), (uk) entertainments tent, carpa', '(us) headlining, outstanding', 'Manymarqueeactors starred in the film.'"
shuck,"'desbullar, oysters: remove shell.', 'shuckedweight of the abalone.', 'Mark, can you come to the kitchen and help meshuckthe oysters for dinner?'"
nosy,"'overly inquisitive, entrometido', 'Paul tried to keep thenosyneighbors out of his garden.'"
endearing,"'adorable, entrañable', 'The baby had anendearinglaugh.'"
bludgeon,"'aporrear, apalear, to hit several times', 'The victim wasbludgeonedwith a heavy object.'"
landfill,"'site for burying waste, vertedero, basural', 'The locallandfillis expected to reach capacity in two years.'"
fraught,"'filled with sth unpleasant', 'The project has beenfraughtwith delays and cost overruns.', 'tense, tirante', 'The situation becamefraughtwhen the man pulled out a gun.'"
colt,"'potro, young male horse'"
carrion,"'decaying flesh of dead animals, carroña', 'The vultures poked at thecarrion.'"
quagmire,"'bog, marsh, cenagal, lodazal', '(fig) difficult situation, atolladero, embrollo, aprieto'"
whimper,"'cry softly, lloriquear, gimotear'"
vilify,"'denigrar, vilipendiar'"
veneer,"'coating over wood, revestimiento, chapado, baño. (fig) appearance, not fact.', ""Larry'sveneerof charm often fooled people into thinking he was a nice person."""
urn,"'large vase, urna funeraria', ""The family keep their grandfather's ashes in anurnon the mantelpiece (ledge over a fireplace- repisa sobre la chimenea)."""
travesty,"'parodia, caricatura, farsa, bad imitation', 'The whole trial was atravesty; the defendant never had a fair chance.', 'The witnesses were so eager to see the suspect imprisoned that they presented atravestyof the truth.'"
ringleader,"'cabecilla, chief troublemaker', 'The residence has expelled the alledgeringleader.', 'The teenage boys followed theirringleaderto the park to paint graffiti.'"
quell,"'apaciguar, reprimir, controlar', ""What can I say toquellyour anxiety about this evening? His early appearancequelledour worries that he wouldn't show."", 'Riot police were mobilized toquellthe violence.'"
juggle,"'hacer juegos malabares.', 'Sarah was hired as an administrator for her ability tojugglemany tasks at once.', 'I havejuggledmy career with raisin two daughters, said Lizz Truss.'"
flat out,"'a tope', ""We're workingflat outto secure the best possible results."", 'rotundamente', 'Sheflat outrefused to speak to me.'"
lockstep,"'tighly linked, at the same rate as, al unísono', 'Chancellor and I are inlockstep on the policies, said Lizz Truss.'"
keynote,"'keynote address, keynote speech: discurso de apertura, presentación', ""We've asked the President to give thekeynoteaddress at next year's conference."""
nestle,"'recogerse, acurrucarse', 'The cottagenestledin a grove (bosquecillo) of leafy trees.', ""Bennestledhis chin against his girlfriend's shoulder."""
indebted,"'en deuda con', ""Finally, I'mindebted tomy publisher, without whose support this book would never have been finished."""
hotshot,"'extremely successful, high flying person'"
harlot,'(dated)female prostitute'
forte,"'fuerte, punto fuerte', 'Dealing with tenants sensitively is not hisforte.'"
palsy,"'muscular paralysis,cerebral palsy: parálisis cerebral.'"
proxy,"'apoderado, delegado, representante', 'Sampling with replacement is aproxy.'"
incumbent,"'(current in office) de turno, en funciones', ""Brazil's election is going into a second round in which left-winger Luiz Inácio Lula da Silva will face far-rightincumbentJair Bolsonaro."", '', 'The incumbent mayor has done a good job in his time in office.', ''"
commend,"'elogiar, to praise', '""A wise man should so write (though in words understood by all men) that wise men only should be able tocommendhim"".', 'Hobbes'"
cusp,"'cúspide,', 'threshold, point beteeen', 'September marks thecuspof summer and autumn.'"
caveat,"'advertencia, limitación', 'Correlationcaveats.'"
throw under the bus,"'', 'Shortly after Ms Truss\'s interview, former culture secretary Nadine Dorries accused the PM of throwing her chancellor ""under a bus"".'"
assailant,"'attacker, asaltante, agresor', 'The victim succeeded in fighting off herassailant.'"
scythe,'guadaña'
emaciated,"'scrawny, skeletal, demacrado, esquelético, raquítico', 'Doctors are treating theemaciatedchildren who are suffering due to the famine.'"
graze,"'pastar/ rasguño', 'He has a large graze at the top of his nose.'"
a ringer for,"'la viva imagen de alguien', ""Has anyone ever said that you're aringer forGeorge Clooney?"", ""She's a deadringerfor a girl I used to know."""
rife,"rife with: ''full of (sth bad), plagado, lleno de', 'The streets here arerife withcrime.'"
a needle in a haystack,"'aguja en un pajar (impossible to find)', 'haystack: almiar'"
dimple,"'hoyuelo, small hollow in cheek'"
deviant,"'sb who does not follow the norm,behaviour/sexuality', 'desviado, anormal, pervertido'"
bicker,"'quarrel,To argue about things that are not important.', 'My brother and I oftenbickerover which TV channel we want to watch.'"
thwart,"'frustar, impedir', 'The guardsthwartedan attempt to invade the citadel.', ""InjurythwartedIan's dreams of becoming a top footballer."""
swish,"'move with hissing, rustling sound.', 'I tried to hail a taxi, but itswishedpast me.', ""The ladies' skirtsswishedas they danced."", 'The horse reacted instantly to theswishof the whip.'"
rile,"'annoy, anger, irritar, sacar de qucio, exasperar', ""Tony's arrogance reallyrilesme."", ""If yourilea tiger, he's going to show his claws."""
mane,"'crin, melena'"
bane,"'desgracia, perdición', '', ""My computer's crashed again; technology is the bane of my life!"", ''"
sleight,"'dexterous skill, destreza, habilidad', 'sleight of hand: prestidigitación'"
twine,"'cordel, / (twist together) entrelazar, trenzar', 'Twinethe branches together to form a wreath.'"
offbeat,"'humor: unconventional, quirky.', '(In SkyNews)', ""The comedian'soffbeathumor did not resonate with the audience."", ''"
udder,"'ubre', ""The cow'sudderwas swollen with milk."""
gall,"'to have the gall to do sth.', 'Descaro, desfachatez', 'Then they had thegallto complain!', '', 'brazen: descarado', 'blatant: descarado'"
intermission,"'intermedio, entreacto, interludio', 'After a shortintermission, the play continued.'"
foresight,"'previsión', 'Not planning for your retirement shows a complete lack offoresight.'"
laid-back,"'relaxed, sin drama', '""Most British people are polite andlaid-back,"" says Yowin.', 'He had a laid back attitude to his job. I love your laid back approach to life.'"
sabre-rattle,"'ruido de sables,', 'ponerse chulo, try to intimidate, ponerse gallito', 'sabre-rattling: tambores de guerra.', ""Truss insists we should ignore Putin'ssabre-rattling."""
fortitude,"'fortaleza, strength, courage', 'Facing your enemies in battle will require bravery and fortitude.', '', 'Intestinal fortitude', '', 'The courage and strength of mind necessary to do something difficult or unpleasant (used when you want to avoid using the word ""guts"").', '', 'He did not have the intestinalfortitudeto implement the changes.', '', ""It's rare to find a politician with the intestinalfortitudeto take a controversial stance."""
breadth,"'width, amplitud, anchura', ""With his breadth of experience, I'm sure John can get a good job."", '', 'They have travelled thelength andbreadthof Europe giving concerts.', 'Compassion, in which all ethics must take root, can only attain its fullbreadthand depthif it embraces all living creatures and does not limit itself to mankind.'"
breeze,"a breeze: ''pan comido, muy fácil', 'Today, available libraries make machine learning developmenta breeze', '', 'breeze: brisa', 'A gale is stronger than a breeze.', ''"
fodder,"'food for livestock, pienso, forraje', '(fig) alimento', 'Her experiences, good and bad, were allfodderfor her novel.'"
go-to,"'Thego-tomodel for regression is Linear Regression, while KMeans algorithm represent the same in the domain of clustering.', '', 'la primera opción, la referencia'"
cannon fodder,"'carne de cañón', 'Incompetent army officers view their soldiers only ascannon fodder.'"
wad,"'banknotes: roll. Fajo.', 'Has anyone reported finding awadof £10 notes in here?'"
vamp,"'predatory woman', 'vampiresa, mujer fatal', 'Veronica had a reputation for being avamp.'"
uncanny,"'Strange and difficult to explain.Supernatural.', 'It wasuncannyreally, almost as if she knew what I was thinking.', 'He has anuncannyknack of being able to see immediately where the problem lies.'"
clean slate,"'borrón y cuenta nueva', 'Federer: I always try to keep aclean slate, you know.', 'Many people see the start of a new year as ablank slate; a chance to leave failures behind them and start afresh.', '', 'slate: pizarra, laja, losa'"
rerun,"'TV, film: repetición, reposición.', '(inform) refrito', 'Rerunsof old TV shows.'"
take it on the chin,"'aguantar el golpe, afrontar, accept sth without complaint', 'Many Western countries imposed sanctions, but Russiatook them on the chin.'"
maul,"'(animal: attack) (treat roughly: maltratar, vapulear).', 'The book was badlymauledby its borrowers.', 'Russian army has beenmauledin Ukraine.'"
enthrall,"'captivate, fascinate, embelesar, engatusar.', ""The magician's performanceenthralledthe children."""
brolly,"'umbrella (uk, informal)', 'Take abrollywith you in case it rains.'"
bluff,"'farolear', ""Putin said he'd use nuclear weapons and that he was notbluffing."""
sinew,"'tendón, nervio, (fig) fuerza, vigor', ""I'm determined my government takes every step andstrains every sinewto get the economy going."""
bullish,"'optimistic', '', 'The prime minister remainedbullishabout her tax policy.', 'Shop owners are feelingbullishabout the year ahead.'"
contractor,"'self-employer, freelance worker', 'Jim likes working as an independentcontractorbecause he can set his own hours.', '', 'Type of job you are looking for:', 'Permanent', 'Contractor'"
brazen,"'shameless, overly bold. Desvergonzado', 'There were several instances ofbrazencheating.', ""She's known for her own brand ofbrazensexuality."""
fawn,"'beis / cervatillo (young deer)/ adular, ser servil', '', ""I can't stand the way my colleague behaves around the boss; he's alwaysfawning."""
trivia,"'unimportant matters, trivialidad, banalidad, insignificancia', 'They ignored the important matters and just talked abouttrivia.', ''"
smudge,"'A dirty mark with no clear shape.', '', 'Asmudgeof lipstick on a cup.', '', 'Emborronar, difuminar.', '', 'A dirty mark with no clear shape.', 'A smudgeof lipstick on a cup.', '', 'To touch or rub something, especially wet ink or paint, so that it is no longer clear; to become not clear in this way.', '', 'Tears had smudged her mascara.', '', 'He had smudged his signature with his sleeve.'"
slant,"'leaning, slope, inclinación, pendiente, (fig) opinion, punto de vista, enfoque', '', 'Theslantof the chair made it very uncomfortable to sit on.', ""Myslanton this is that we should keep trying until we've exhausted all the possibilities."", 'The findings of the report had beenslantedin favour of the manufacturers.'"
ricochet,"'deflection, rebound, rebote', '', 'Thericochetof the bullet off the wall caused a loud whining noise.', 'Shots were fired and aricochethit a bystander in the leg.'"
pimple,"'skin blemish, espinillas, granito', ""You're getting apimpleon your forehead."", '', 'blemish: skin: imperfection, flaw', 'blemish: manchar, ensuciar'"
tatters,"'shreds, torn clothing, harapos, andrajos.', ""Russia's industry is intatters."""
lying-in-state,"'capilla ardiente, corpse: displayed.', ""Camping overnight to see the Queen'slying-in-state."""
short-tempered,"'easily angered, irritable, de malas pulgas, de trato difícil', 'While the King could be fun, he was alsoshort-temperedand demanding.'"
picky,"'exigente, meticuloso, selectivo / quisquilloso, criticón.', ""Linda is a verypickyshopper; she won't buy anything unless it's absolutely right."", 'Evan is sopicky; he always finds something wrong with every potential employee.'"
on the back foot,"'a la defensiva', 'Russia is on the back foot in Ukraine.'"
turf,"'césped / terreno, territorio / pista carrera caballos', 'turf sb out: remove, eject, echar a alguien de algo', '', 'My mum had had enough of us getting under her feet, so she turfed us out.', '', '', 'They turfed us out of the pub at 2am.', ''"
wanton,"'actions without motive, sin sentido, gratuito', 'Police described the attack as awantonact of violence.', 'Causing harm or damage deliberately and for no acceptable reason.', 'Wantonkilling of innocent civilians is terrorism, not a war against terrorism.'"
undying,"'eternal, inmortal, imperecedero', ""John's undying love for his wife is so romantic!"""
touchy,"'delicado, sensible, susceptible', 'Circuses are atouchysubject with Philip, ever since his wife ran off with an acrobat.', '', 'The boss is touchy, so be careful what you say to her.', 'easily irritated, susceptible', '', '', 'Sheila is a touchy-feely type of person who is always hugging her friends.', 'sobón, enjoys physical contact'"
puffy,"'hinchado, inflado,Looking swollen (= larger, rounder, etc. than usual)', ""The boxer's eye ispuffyfrom the right hook his opponent landed on him. Pregnant women sometimes suffer frompuffyankles."""
washer,"'lavadora/ junta, arandela'"
plaid,"'tartan, tela escocesa (a cuadros)', '', 'The uniform is a white blouse worn with a blue plaid skirt.', ''"
barter,"'haggle, trade, hacer trueque', '', '', 'In ancient times, goods and services were obtained through barter.', 'barter for, haggle: regatear el precio', '', '(banter: charloteo bromas)'"
mar,"'to damage or spoil sth good, dañar, estropear, arruinar', '', 'The accident marred the painting.', ''"
glint,"'shine, gleam, destello, centelleo', '', 'A glint of sunlight suddenly hit the glass, temporarily blinding Bill.', ''"
galley,"'galera/ cocina de barco', 'galley proof: galerada', '', 'You will receive galley proofs of the book in about three weeks', ''"
bootstrap,"'means of advance, impulso, empuje'"
lampoon,"'mock, satirize', 'From the previous lampooning of him on comedy shows, he has been gradually positioned as a more dignified figure.', '', 'The cartoonist often lampoons important leaders in the government.', ''"
fritter,"'waste, squander, malgastar', 'Charles is a man who, if he chose, could fritter away his life on idleness and self-indulgence.'"
grinder,"'coffee grinder (molinillo de café), meat grinder (picadora),\xa0 grape grinder (prensa)', '', 'Never hold discussions with the monkey when the organgrinderis in the room.', '(el que mueve los hilos, lleva la batuta)', '', 'grind: rutina, trabajo monótono.', ""After Sunday, it's back to the regular grind at work."""
elope,"'run away to marry, run away with lover', '', '', 'Rick and Leslie eloped and never had a formal wedding ceremony', ''"
bonkers,"'crazy: pirado, majara', ""You want to go out and dance in the snow? You'rebonkers."""
yap,"'high-pitched bark', 'incessant chatter, parloteo'"
waver,"'dudar, titubear, vacilar, feel doubt, hesitate', '', ""He's beginning to waver about staying in the job now."", 'waive: prescindir, no exigir, renunciar'"
lent,"'cuaresma', 'Lent is a time during which we reflect on attrition', ''"
wrap up,"'envolver // fig. meeting: acabar, cerrar.', '', ""Let's wrap the meeting up - I have a plane to catch."", ''"
sanguine,"'cheerful, optimista, alegre', ""The politician seemssanguineabout the state's future."""
pounce,"'(leap, spring) saltar, lanzarse, abalanzarse', 'The lion crept up on the oblivious zebra andpounced.', 'The foxpouncedon the rabbit and carried it off. The officerpouncedon the gunman and disarmed him.'"
ploy,"'plan, strategy, estratagema', '', 'A clever marketingploy.', '', 'It was all aployto distract attention from his real aims.'"
levee,"'US- dam, embankment', '', '', 'The river flooded after the levee was destroyed in an earthquake', ''"
doe,"'female deer (cierva, corza, gama), rabbit or hare.', '', 'Jane Doe(fulana, zutana, mengana)', 'John Doe(ídem)'"
distraught,"'consternado, desconsolado (upset)', '', 'The distraught parents waited for news of their child.', ''"
curdle,"'cuajar (milk)', '', 'curdle your blood:(fill with fear, horror) helar la sangre'"
relay race,"'carrera de relevos', '', 'I was running in a relay race when I dropped the baton.', ''"
doldrums,"'abatimiento, depresión', 'He remembers her ambition when the Conservatives were in thedoldrums.'"
swot,"'empollón, empollar, study intensively'"
wriggle,"'retorcerse', '', 'wriggle room:The chance to change something or to understand it in a different way.', 'The amendment leaves nowriggleroom for lawmakers.', '', 'The buyer still has somewriggleroom when the deal is under contract.'"
upper hand,"'advantage, delantera', 'An early goal has given the Blues theupperhandin the match.'"
wimp,"'flojo, débil (physically, mentally)', '', ""Susan's such a wimp; she can't even get the lid off that jar."", '', '', ""Stop being a wimp; it's only an insect!"", ''"
stow,"'guardar, almacenar', 'We stow the potatoes in the cellar over winter.', 'Lifejackets are stowed under the seats.', '', 'stowaway: viajar de polizón.', '', 'The illegal immigrants stowed away on the passenger ship.', ''"
snip,"snippet ''cut, trim,To cut something with scissors using short quick strokes.', '', 'A tool like large scissors, used for cutting metal.', '', 'snippet: extract of sth published', 'He sat at the table and read me snippets from the paper.', 'fragmentos, trozos'"
sticking plaster,"'tirita, apósito', 'No more sticking plasters for the economy, vows Liz Truss.'"
rue,"'(literary) regret, lament', '', ""You'll rue your decision to leave her."", ''"
preposterous,"'absurd', 'Completely unreasonable, especially in a way that is shocking or annoying.'"
kindred,"'kin, family, parentela, parentesco', 'your family and relatives'"
conceit,"'soberbia, engreimiento', 'I can say withoutconceatthat I have talent.', '', 'The prince is handsome, but his conceit is a turnoff.', ''"
billow,"'to fill with air and swell out, hincharse, inflarse', 'The curtains billowed in the breeze', '', 'cloudlike mass: mass nevulosa, nube', 'The power plant put out billows of smoke.'"
fickle,"'voluble, inconstante', 'The latest downturn in sales shows what aficklebusiness this is.'"
frisk,"'cacheo, registro', 'Does gender affect who isfriskedduring a search?'"
thrift,"'The habit of saving money and spending it carefully so that none is wasted.', '', 'Thrift shop', 'A shop that sells clothes and other goods given by people to raise money for a charity.'"
associate,"'asociar, relacionar //', 'low-level job title: auxiliar', 'Anassociatewill be with you in a moment.', '', 'job-title: mid level: adjunto', 'The man in the striped shirt is theassociateproducer of the film.', '', ""Anassociate degree(two years of college), a bachelos's degree (four years of college)."", '', 'Data Scientist Associate Certification', 'Certified as a Data Scientist Associate'"
"veranda, kennel","'veranda:\xa0 open-air porch', 'kennel:\xa0 small outdoor house for a dog'"
windfall,"'(unexpected money) dinero caído del cielo', '', 'The discovery of thousands of undeclared private swimming pools in France has provided an unexpectedwindfallfor French tax authorities.'"
heirloom,"'(sth passed down through family)', 'reliquia, recuerdo de familia', 'This quilt is an heirloom that has been in the family for generations.'"
grumble,"'complain, quejarse', ""She's alwaysgrumblingto me about how badly she's treated at work."", ""To do nothing butgrumbleand not to act - that is throwing away one's life"""
unicorn,"'""They say that people who can do good research and write high quality code areunicorns"".', 'mythical animal // (fig) sth highly desirable but difficult to find or obtain.'"
gloat,"'show self satisfaction, regodearse, presumir, alardear', ""To show that you are happy about your own success or somebody else's failure, in an unpleasant way."""
faucet,"'(US) water faucet, tap (UK) grifo', 'A device that controls the flow of water from a pipe.'"
dole,"'subsidio de desempleo', 'dole out: hand out, distribute, repartir'"
the jury is out,"'(decision has yet to be given) (el jurado sigue reunido)', 'Asked whether France was friend or foe, Liz Truss answered: the jury is out.'"
"wonky, stunted","'wonky (uneven, lopsided) veg label, or as Lidl, stunted (atrofiado el crecimiento) fruits and vegs'"
wart,"'verruga, (fig) imperfection', '', 'Tina has a wart on her finger.', 'warts and all: (despite flaws): con todos los defectos.', 'I love her warts and all.'"
ruffle,"'(clothing: frill) pliegue, volante // (rumple) ondular // (bird: erect feathers) erizar'"
pout,"'ponerse de morros, mohín de enfado', ""Paul didn't notice Tina's pout of annoyance when he said he was going out again."""
balaclava,"'pasamontañas, (woollen ski mask)', '', ""The 35-year-old was believed to be the intended target of thebalaclava-wearingattacker who chased him along the street before Nee forced his way into the schoolgirl's family home in the Dovecot area to try to get away."""
pip,"'pepita. 2. beep, pitido. 3. (sb) ganar por un pelo', 'The race was almost over when the runner who had been in second position pipped the world record holder to come in first.'"
maroon,'granate / abandonar a alguien (on island)'
nimble,"'dexterous, fast, ágil, hábil, diestro', '', 'Kate had nimble fingers that were perfect for needlework.', 'sagaz, astuto, aguzado', '', '', 'Kelsey has a nimble mind that will do well in academia.', 'nibble: mordisquito'"
at large,"'escaped, prófugo, suelto', 'The murderer is still at large.'"
snout,"""animal's nose, muzzle, hocico"", '(fig) napia, nariz', 'The aligator let him go because he was grabbing its snout.'"
run-in,"'quarrel, disagreement, discusión', 'Kyorgios hadrun-inswith umpires during the Wimbledon final.'"
deprecate,"'despreciar // (soft: discontinue) descontinuar', '', 'The company decided to deprecate several features.', ''"
spook,"'scare, asustar, espantar, (fig) fantasma', 'That messure would spook international investors into the UK.'"
labourer,"'peón', '', 'Ted works as a laborer in the field and spends all day in the sun.', ''"
jumpsuit,"'mono', 'She is scheduled to trade her evening gown for a prisonjumpsuitafter pleading guilty of stealing.'"
berserk,"'deranged, frenzied, furioso, enloquecido, frenético', 'A berserk driver rammed his car into a storefront.'"
manor,"'palacete, mansión, casa solariega, casa señorial'"
hatchet,"'small axe, hachuela', 'take up tbe hatchet: desenterrar el hacha de guerra', 'bury the hatchet: hacer las paces', 'hatchet man:A person employed by an organization to make changes that are not popular with the other people who work there.', 'hatchet job: Strong criticism that is often unfair and is intended to harm somebody/something.', '', 'The press did a very effectivehatchetjob on her last movie.'"
galore,"'in abundance, aplenty, a montones, a granel', ""I don't even remember how many times I've sprained my ankle. I've had stress fracturesgalore"""
tell-tale,"'But experts say this hint of a change in the seasons isn\'t genuine. Instead it\'s thetell-talesign of a ""false autumn"".', '', 'pista, señal, indicio'"
